company_id,company_name,industry,company_size,location,founded_year,employee_count,revenue_million_usd,description,website,benefits
42,Payroll Tech Service,Financial Services,Large (1000+),Can Tho,2013,4762,115,Leading technology company specializing in innovative solutions for industry 2,https://company42.com,"Performance Bonus, Team Building, Modern Office"
43,Accounting App Pro,Agriculture,Startup (1-50),Da Nang,1998,129,105,Leading technology company specializing in innovative solutions for industry 3,https://company43.com,"Stock Options, Free Lunch, Gym Membership"
44,LegalTech Vietnam,Real Estate,Large (1000+),Hai Phong,1997,840,391,Leading technology company specializing in innovative solutions for industry 4,https://company44.com,"Health Insurance, Flexible Hours, Remote Work"
45,InsureTech Solutions,Agriculture,Large (1000+),Da Nang,2011,3685,196,Leading technology company specializing in innovative solutions for industry 5,https://company45.com,"Competitive Salary, Training, Career Development"
46,RealEstate Platform,E-commerce,Small (51-200),Can Tho,2011,1379,314,Leading technology company specializing in innovative solutions for industry 1,https://company46.com,"Competitive Salary, Training, Career Development"
47,ConstructTech Vietnam,Financial Services,Startup (1-50),Can Tho,2006,750,114,Leading technology company specializing in innovative solutions for industry 2,https://company47.com,"Stock Options, Free Lunch, Gym Membership"
48,AgriTech Solutions,Education,Medium (201-1000),Da Nang,2022,126,493,Leading technology company specializing in innovative solutions for industry 3,https://company48.com,"Health Insurance, Flexible Hours, Remote Work"
49,Mining Data Analytics,Retail,Medium (201-1000),Can Tho,2023,2848,75,Leading technology company specializing in innovative solutions for industry 4,https://company49.com,"Health Insurance, Flexible Hours, Remote Work"
50,Ocean Tech Marine,Logistics,Startup (1-50),Da Nang,2008,1160,413,Leading technology company specializing in innovative solutions for industry 5,https://company50.com,"Competitive Salary, Training, Career Development"
51,Company 51,Healthcare,Medium (201-1000),Hanoi,2015,1941,376,Leading technology company specializing in innovative solutions for industry 1,https://company51.com,"Performance Bonus, Team Building, Modern Office"
52,Company 52,Information Technology,Medium (201-1000),Da Nang,2000,1022,420,Leading technology company specializing in innovative solutions for industry 2,https://company52.com,"Competitive Salary, Training, Career Development"
53,Company 53,Education,Startup (1-50),Da Nang,1997,1674,217,Leading technology company specializing in innovative solutions for industry 3,https://company53.com,"Health Insurance, Flexible Hours, Remote Work"
54,Company 54,Financial Services,Large (1000+),Can Tho,2022,1091,277,Leading technology company specializing in innovative solutions for industry 4,https://company54.com,"Stock Options, Free Lunch, Gym Membership"
55,Company 55,Logistics,Startup (1-50),Can Tho,2003,4739,249,Leading technology company specializing in innovative solutions for industry 5,https://company55.com,"Competitive Salary, Training, Career Development"
56,Company 56,Education,Large (1000+),Ho Chi Minh City,1999,522,164,Leading technology company specializing in innovative solutions for industry 1,https://company56.com,"Health Insurance, Flexible Hours, Remote Work"
57,Company 57,Financial Services,Medium (201-1000),Ho Chi Minh City,2018,2859,394,Leading technology company specializing in innovative solutions for industry 2,https://company57.com,"Competitive Salary, Training, Career Development"
58,Company 58,Manufacturing,Medium (201-1000),Hanoi,2023,569,357,Leading technology company specializing in innovative solutions for industry 3,https://company58.com,"Performance Bonus, Team Building, Modern Office"
59,Company 59,Manufacturing,Medium (201-1000),Ho Chi Minh City,2011,3682,457,Leading technology company specializing in innovative solutions for industry 4,https://company59.com,"Competitive Salary, Training, Career Development"
60,Company 60,Agriculture,Small (51-200),Da Nang,2008,4593,408,Leading technology company specializing in innovative solutions for industry 5,https://company60.com,"Competitive Salary, Training, Career Development"
61,Company 61,Education,Large (1000+),Can Tho,2015,3353,192,Leading technology company specializing in innovative solutions for industry 1,https://company61.com,"Health Insurance, Flexible Hours, Remote Work"
62,Company 62,Manufacturing,Small (51-200),Ho Chi Minh City,1997,4080,227,Leading technology company specializing in innovative solutions for industry 2,https://company62.com,"Health Insurance, Flexible Hours, Remote Work"
63,Company 63,Financial Services,Small (51-200),Ho Chi Minh City,2022,4809,177,Leading technology company specializing in innovative solutions for industry 3,https://company63.com,"Health Insurance, Flexible Hours, Remote Work"
64,Company 64,Agriculture,Startup (1-50),Hanoi,1995,1480,99,Leading technology company specializing in innovative solutions for industry 4,https://company64.com,"Competitive Salary, Training, Career Development"
65,Company 65,Financial Services,Small (51-200),Hanoi,2014,590,496,Leading technology company specializing in innovative solutions for industry 5,https://company65.com,"Performance Bonus, Team Building, Modern Office"
66,Company 66,Agriculture,Startup (1-50),Da Nang,2023,2304,36,Leading technology company specializing in innovative solutions for industry 1,https://company66.com,"Stock Options, Free Lunch, Gym Membership"
67,Company 67,Education,Startup (1-50),Can Tho,2015,3157,466,Leading technology company specializing in innovative solutions for industry 2,https://company67.com,"Stock Options, Free Lunch, Gym Membership"
68,Company 68,Logistics,Small (51-200),Hanoi,2017,4259,497,Leading technology company specializing in innovative solutions for industry 3,https://company68.com,"Health Insurance, Flexible Hours, Remote Work"
69,Company 69,Retail,Large (1000+),Ho Chi Minh City,1995,1689,487,Leading technology company specializing in innovative solutions for industry 4,https://company69.com,"Health Insurance, Flexible Hours, Remote Work"
70,Company 70,Real Estate,Large (1000+),Can Tho,1997,3516,96,Leading technology company specializing in innovative solutions for industry 5,https://company70.com,"Competitive Salary, Training, Career Development"
71,Company 71,Logistics,Large (1000+),Can Tho,2012,2754,152,Leading technology company specializing in innovative solutions for industry 1,https://company71.com,"Stock Options, Free Lunch, Gym Membership"
72,Company 72,E-commerce,Large (1000+),Ho Chi Minh City,2019,3366,151,Leading technology company specializing in innovative solutions for industry 2,https://company72.com,"Health Insurance, Flexible Hours, Remote Work"
73,Company 73,Financial Services,Large (1000+),Hanoi,2004,4055,190,Leading technology company specializing in innovative solutions for industry 3,https://company73.com,"Performance Bonus, Team Building, Modern Office"
74,Company 74,E-commerce,Small (51-200),Ho Chi Minh City,2016,1253,224,Leading technology company specializing in innovative solutions for industry 4,https://company74.com,"Performance Bonus, Team Building, Modern Office"
75,Company 75,Logistics,Small (51-200),Can Tho,2020,3128,37,Leading technology company specializing in innovative solutions for industry 5,https://company75.com,"Health Insurance, Flexible Hours, Remote Work"
76,Company 76,Agriculture,Medium (201-1000),Hai Phong,1997,2151,268,Leading technology company specializing in innovative solutions for industry 1,https://company76.com,"Health Insurance, Flexible Hours, Remote Work"
77,Company 77,Real Estate,Large (1000+),Hai Phong,2002,3069,369,Leading technology company specializing in innovative solutions for industry 2,https://company77.com,"Stock Options, Free Lunch, Gym Membership"
78,Company 78,Real Estate,Small (51-200),Da Nang,2008,4558,183,Leading technology company specializing in innovative solutions for industry 3,https://company78.com,"Stock Options, Free Lunch, Gym Membership"
79,Company 79,Information Technology,Medium (201-1000),Ho Chi Minh City,2018,2969,13,Leading technology company specializing in innovative solutions for industry 4,https://company79.com,"Competitive Salary, Training, Career Development"
80,Company 80,Real Estate,Large (1000+),Ho Chi Minh City,2012,2275,279,Leading technology company specializing in innovative solutions for industry 5,https://company80.com,"Stock Options, Free Lunch, Gym Membership"
81,Company 81,Retail,Startup (1-50),Da Nang,2009,2489,217,Leading technology company specializing in innovative solutions for industry 1,https://company81.com,"Performance Bonus, Team Building, Modern Office"
82,Company 82,Real Estate,Medium (201-1000),Da Nang,2016,4656,355,Leading technology company specializing in innovative solutions for industry 2,https://company82.com,"Performance Bonus, Team Building, Modern Office"
83,Company 83,Logistics,Small (51-200),Da Nang,2017,1645,361,Leading technology company specializing in innovative solutions for industry 3,https://company83.com,"Health Insurance, Flexible Hours, Remote Work"
84,Company 84,Information Technology,Startup (1-50),Can Tho,1996,1767,286,Leading technology company specializing in innovative solutions for industry 4,https://company84.com,"Stock Options, Free Lunch, Gym Membership"
85,Company 85,Logistics,Startup (1-50),Ho Chi Minh City,2021,4462,273,Leading technology company specializing in innovative solutions for industry 5,https://company85.com,"Competitive Salary, Training, Career Development"
86,Company 86,Logistics,Startup (1-50),Can Tho,2004,2080,369,Leading technology company specializing in innovative solutions for industry 1,https://company86.com,"Performance Bonus, Team Building, Modern Office"
87,Company 87,Healthcare,Medium (201-1000),Da Nang,1996,2859,62,Leading technology company specializing in innovative solutions for industry 2,https://company87.com,"Performance Bonus, Team Building, Modern Office"
88,Company 88,Information Technology,Small (51-200),Ho Chi Minh City,2020,3261,84,Leading technology company specializing in innovative solutions for industry 3,https://company88.com,"Competitive Salary, Training, Career Development"
89,Company 89,Logistics,Startup (1-50),Can Tho,2011,3740,368,Leading technology company specializing in innovative solutions for industry 4,https://company89.com,"Competitive Salary, Training, Career Development"
90,Company 90,Healthcare,Large (1000+),Can Tho,2002,2499,217,Leading technology company specializing in innovative solutions for industry 5,https://company90.com,"Performance Bonus, Team Building, Modern Office"
91,Company 91,Healthcare,Startup (1-50),Da Nang,1995,1641,342,Leading technology company specializing in innovative solutions for industry 1,https://company91.com,"Performance Bonus, Team Building, Modern Office"
92,Company 92,Information Technology,Startup (1-50),Ho Chi Minh City,2003,2826,397,Leading technology company specializing in innovative solutions for industry 2,https://company92.com,"Competitive Salary, Training, Career Development"
93,Company 93,E-commerce,Medium (201-1000),Da Nang,2005,1025,187,Leading technology company specializing in innovative solutions for industry 3,https://company93.com,"Performance Bonus, Team Building, Modern Office"
94,Company 94,Agriculture,Medium (201-1000),Ho Chi Minh City,2016,1358,19,Leading technology company specializing in innovative solutions for industry 4,https://company94.com,"Health Insurance, Flexible Hours, Remote Work"
95,Company 95,Retail,Small (51-200),Hai Phong,2010,4621,177,Leading technology company specializing in innovative solutions for industry 5,https://company95.com,"Health Insurance, Flexible Hours, Remote Work"
96,Company 96,Agriculture,Large (1000+),Hanoi,2001,3097,100,Leading technology company specializing in innovative solutions for industry 1,https://company96.com,"Competitive Salary, Training, Career Development"
97,Company 97,Real Estate,Medium (201-1000),Hanoi,2023,2849,396,Leading technology company specializing in innovative solutions for industry 2,https://company97.com,"Stock Options, Free Lunch, Gym Membership"
98,Company 98,Retail,Startup (1-50),Hanoi,2004,345,445,Leading technology company specializing in innovative solutions for industry 3,https://company98.com,"Competitive Salary, Training, Career Development"
99,Company 99,Real Estate,Small (51-200),Da Nang,2017,4602,233,Leading technology company specializing in innovative solutions for industry 4,https://company99.com,"Competitive Salary, Training, Career Development"
100,Company 100,Logistics,Startup (1-50),Hai Phong,2020,905,403,Leading technology company specializing in innovative solutions for industry 5,https://company100.com,"Stock Options, Free Lunch, Gym Membership"
